"t1_60_ico_bin_ppm","t1_60_ico_nat_ppm","t1_60_ico_zf_ppm","t2_60_ico_bin_ppm","t2_60_ico_nat_ppm","t2_60_ico_zf_ppm","t2_400_ico_bin_ppm","t2_400_ico_pbin_ppm","t2_400_ico_nat_ppm","t2_400_ico_zf_ppm"
"8.5799","0.0649787","-0.505135","8.58005","0.064778","-0.505359","6.41899","-2.10634","-3.06532","-3.15908"
"8.62993","0.0709174","-0.502166","8.63008","0.070717","-0.502389","6.4691","-2.1004","-3.06435","-3.15859"
"8.67996","0.0768561","-0.499196","8.68011","0.0766559","-0.49942","6.51922","-2.09446","-3.06337","-3.1581"
"8.72998","0.0827948","-0.496227","8.73013","0.0825948","-0.49645","6.56933","-2.08852","-3.06239","-3.15762"
"8.78001","0.0887335","-0.493258","8.78016","0.0885337","-0.493481","6.61944","-2.08258","-3.06142","-3.15713"
"8.83004","0.0946721","-0.490288","8.83019","0.0944727","-0.490511","6.66956","-2.07664","-3.06044","-3.15664"
"8.88006","0.100611","-0.487319","8.88022","0.100412","-0.487542","6.71967","-2.0707","-3.05946","-3.15615"
"8.93009","0.10655","-0.48435","8.93025","0.106351","-0.484573","6.76978","-2.06476","-3.05849","-3.15566"
"8.98012","0.112488","-0.48138","8.98028","0.112289","-0.481603","6.8199","-2.05882","-3.05751","-3.15517"
"9.03014","0.118427","-0.478411","9.03031","0.118228","-0.478634","6.87001","-2.05288","-3.05654","-3.15469"
"9.08017","0.124366","-0.475441","9.08034","0.124167","-0.475664","6.92013","-2.04694","-3.05556","-3.1542"
"9.1302","0.130304","-0.472472","9.13036","0.130106","-0.472695","6.97024","-2.041","-3.05458","-3.15371"
"9.18022","0.136243","-0.469503","9.18039","0.136045","-0.469725","7.02035","-2.03506","-3.05361","-3.15322"
"9.23025","0.142182","-0.466533","9.23042","0.141984","-0.466756","7.07047","-2.02912","-3.05263","-3.15273"
"9.28028","0.14812","-0.463564","9.28045","0.147923","-0.463786","7.12058","-2.02317","-3.05165","-3.15224"
"9.3303","0.154059","-0.460595","9.33048","0.153862","-0.460817","7.17069","-2.01723","-3.05068","-3.15176"
"9.38033","0.159998","-0.457625","9.38051","0.159801","-0.457847","7.22081","-2.01129","-3.0497","-3.15127"
"9.43036","0.165936","-0.454656","9.43054","0.16574","-0.454878","7.27092","-2.00535","-3.04872","-3.15078"
"9.48038","0.171875","-0.451687","9.48057","0.171679","-0.451908","7.32104","-1.99941","-3.04775","-3.15029"
"9.53041","0.177814","-0.448717","9.53059","0.177618","-0.448939","7.37115","-1.99347","-3.04677","-3.1498"
"9.58044","0.183752","-0.445748","9.58062","0.183557","-0.44597","7.42126","-1.98753","-3.04579","-3.14932"
"9.63046","0.189691","-0.442779","9.63065","0.189495","-0.443","7.47138","-1.98159","-3.04482","-3.14883"
"9.68049","0.19563","-0.439809","9.68068","0.195434","-0.440031","7.52149","-1.97565","-3.04384","-3.14834"
"9.73052","0.201568","-0.43684","9.73071","0.201373","-0.437061","7.5716","-1.96971","-3.04286","-3.14785"
"9.78054","0.207507","-0.433871","9.78074","0.207312","-0.434092","7.62172","-1.96377","-3.04189","-3.14736"
"9.83057","0.213446","-0.430901","9.83077","0.213251","-0.431122","7.67183","-1.95783","-3.04091","-3.14687"
"9.8806","0.219385","-0.427932","9.8808","0.21919","-0.428153","7.72194","-1.95189","-3.03993","-3.14639"
"9.93062","0.225323","-0.424963","9.93082","0.225129","-0.425183","7.77206","-1.94595","-3.03896","-3.1459"
"9.98065","0.231262","-0.421993","9.98085","0.231068","-0.422214","7.82217","-1.94001","-3.03798","-3.14541"
"10.0307","0.237201","-0.419024","10.0309","0.237007","-0.419244","7.87229","-1.93407","-3.037","-3.14492"
"10.0807","0.243139","-0.416055","10.0809","0.242946","-0.416275","7.9224","-1.92813","-3.03603","-3.14443"
"10.1307","0.249078","-0.413085","10.1309","0.248885","-0.413305","7.97251","-1.92219","-3.03505","-3.14394"
"10.1808","0.255017","-0.410116","10.181","0.254824","-0.410336","8.02263","-1.91625","-3.03407","-3.14346"
